item_id,item_feature_id
0,139
1,55
2,11
3,138
4,138
5,138
6,68
7,148
8,194
9,132
10,138
11,1
12,84
13,148
14,148
15,165
16,139
17,56
18,138
19,22
20,165
21,63
22,139
23,144
24,142
25,22
26,138
27,63
28,11
29,63
30,94
31,148
32,122
33,13
34,142
35,120
36,139
37,1
38,129
39,11
40,100
41,139
42,1
43,139
44,131
45,148
46,148
47,19
48,139
49,63
50,4
51,148
52,138
53,148
54,138
55,147
56,139
57,153
58,63
59,5
60,148
61,142
62,55
63,63
64,138
65,148
66,139
67,138
68,1
69,148
70,1
71,1
72,63
73,154
74,129
75,63
76,139
77,131
78,139
79,139
80,148
81,139
82,108
83,63
84,4
85,148
86,9
87,174
88,55
89,176
90,142
91,148
92,131
93,148
94,129
95,174
96,142
97,138
98,135
99,94
100,1
101,165
102,148
103,1
104,180
105,80
106,122
107,63
108,148
109,63
110,55
111,22
112,104
113,84
114,138
115,131
116,4
117,138
118,28
119,19
120,148
121,11
122,139
123,142
124,6
125,139
126,124
127,63
128,55
129,35
130,2
131,64
132,139
133,19
134,148
135,139
136,138
137,148
138,129
139,139
140,63
141,63
142,63
143,68
144,63
145,11
146,129
147,19
148,68
149,180
150,142
151,68
152,50
153,1
154,148
155,2
156,148
157,55
158,148
159,176
160,165
161,11
162,53
163,139
164,142
165,35
166,138
167,1
168,124
169,139
170,63
171,55
172,148
173,176
174,148
175,138
176,142
177,148
178,148
179,138
180,139
181,142
182,142
183,142
184,139
185,52
186,148
187,139
188,142
189,147
190,1
191,84
192,144
193,63
194,138
195,139
196,75
197,4
198,180
199,25
200,148
201,148
202,148
203,11
204,55
205,148
206,54
207,1
208,63
209,11
210,142
211,2
212,36
213,142
214,52
215,84
216,1
217,142
218,63
219,142
220,11
221,55
222,6
223,2
224,63
225,42
226,191
227,138
228,22
229,1
230,63
231,147
232,131
233,138
234,131
235,63
236,63
237,94
238,142
239,148
240,142
241,115
242,1
243,148
244,139
245,142
246,148
247,127
248,139
249,52
250,55
251,63
252,63
253,33
254,139
255,121
256,92
257,176
258,108
259,139
260,158
261,11
262,63
263,154
264,142
265,11
266,19
267,94
268,1
269,148
270,63
271,1
272,148
273,19
274,176
275,84
276,84
277,148
278,142
279,131
280,106
281,4
282,55
283,138
284,20
285,63
286,187
287,148
288,63
289,84
290,148
291,111
292,148
293,1
294,148
295,138
296,75
297,148
298,142
299,147
300,132
301,11
302,11
303,142
304,139
305,35
306,142
307,148
308,139
309,106
310,62
311,139
312,6
313,148
314,144
315,63
316,55
317,138
318,52
319,142
320,139
321,84
322,131
323,144
324,33
325,139
326,55
327,36
328,148
329,95
330,139
331,33
332,55
333,20
334,139
335,138
336,148
337,63
338,129
339,75
340,1
341,18
342,3
343,36
344,139
345,180
346,19
347,122
348,75
349,138
350,138
351,148
352,94
353,139
354,148
355,63
356,148
357,151
358,11
359,63
360,142
361,148
362,63
363,33
364,148
365,62
366,139
367,139
368,142
369,1
370,1
371,138
372,11
373,94
374,153
375,142
376,94
377,56
378,142
379,55
380,145
381,148
382,55
383,148
384,6
385,142
386,148
387,68
388,111
389,138
390,176
391,19
392,142
393,139
394,139
395,173
396,84
397,16
398,63
399,138
400,142
401,80
402,36
403,144
404,94
405,139
406,1
407,138
408,142
409,64
410,165
411,139
412,139
413,89
414,148
415,139
416,142
417,154
418,18
419,148
420,94
421,138
422,25
423,142
424,68
425,33
426,153
427,142
428,148
429,148
430,6
431,2
432,148
433,6
434,19
435,63
436,63
437,72
438,148
439,139
440,148
441,147
442,111
443,1
444,148
445,94
446,148
447,131
448,11
449,62
450,68
451,142
452,142
453,52
454,139
455,142
456,94
457,1
458,139
459,64
460,94
461,139
462,63
463,138
464,169
465,131
466,63
467,11
468,72
469,148
470,139
471,138
472,142
473,142
474,142
475,148
476,174
477,176
478,111
479,142
480,148
481,4
482,63
483,63
484,6
485,84
486,63
487,148
488,19
489,148
490,63
491,138
492,52
493,148
494,63
495,148
496,142
497,139
498,148
499,68
500,139
501,84
502,63
503,2
504,50
505,51
506,138
507,36
508,108
509,138
510,55
511,2
512,148
513,138
514,165
515,176
516,142
517,139
518,148
519,139
520,139
521,44
522,43
523,176
524,80
525,142
526,139
527,72
528,129
529,121
530,174
531,55
532,19
533,148
534,148
535,33
536,138
537,148
538,84
539,19
540,139
541,176
542,148
543,148
544,19
545,63
546,138
547,139
548,1
549,142
550,138
551,138
552,138
553,68
554,139
555,11
556,148
557,144
558,68
559,63
560,18
561,34
562,138
563,120
564,86
565,18
566,139
567,52
568,1
569,100
570,148
571,148
572,131
573,111
574,138
575,55
576,148
577,176
578,18
579,2
580,148
581,148
582,148
583,84
584,46
585,55
586,84
587,108
588,1
589,68
590,68
591,176
592,148
593,84
594,148
595,75
596,11
597,154
598,84
599,142
600,165
601,55
602,121
603,138
604,148
605,148
606,148
607,139
608,2
609,1
610,34
611,148
612,148
613,84
614,54
615,148
616,2
617,94
618,138
619,109
620,154
621,33
622,63
623,148
624,187
625,63
626,12
627,34
628,176
629,18
630,138
631,6
632,56
633,142
634,1
635,4
636,148
637,33
638,186
639,50
640,18
641,1
642,148
643,2
644,52
645,1
646,148
647,63
648,139
649,148
650,1
651,142
652,139
653,111
654,142
655,139
656,98
657,148
658,6
659,63
660,2
661,142
662,142
663,63
664,144
665,52
666,52
667,131
668,148
669,148
670,142
671,142
672,63
673,142
674,131
675,138
676,138
677,176
678,63
679,148
680,138
681,138
682,138
683,52
684,138
685,142
686,139
687,55
688,63
689,138
690,11
691,19
692,138
693,148
694,148
695,138
696,165
697,148
698,19
699,137
700,148
701,11
702,139
703,10
704,153
705,142
706,148
707,131
708,142
709,120
710,115
711,187
712,148
713,1
714,94
715,132
716,144
717,139
718,176
719,11
720,68
721,138
722,56
723,139
724,148
725,132
726,55
727,1
728,68
729,176
730,148
731,139
732,187
733,84
734,1
735,138
736,139
737,11
738,138
739,139
740,63
741,55
742,158
743,63
744,138
745,55
746,63
747,84
748,176
749,139
750,176
751,139
752,176
753,84
754,1
755,108
756,148
757,148
758,142
759,94
760,139
761,148
762,144
763,187
764,173
765,138
766,131
767,188
768,139
769,148
770,129
771,147
772,176
773,124
774,120
775,131
776,63
777,142
778,52
779,148
780,98
781,148
782,139
783,138
784,75
785,104
786,139
787,63
788,148
789,142
790,139
791,173
792,139
793,138
794,139
795,139
796,142
797,111
798,148
799,142
800,19
801,55
802,148
803,180
804,142
805,176
806,94
807,19
808,124
809,181
810,148
811,147
812,63
813,18
814,142
815,11
816,4
817,139
818,154
819,139
820,1
821,142
822,104
823,84
824,174
825,148
826,52
827,154
828,173
829,55
830,124
831,63
832,68
833,11
834,139
835,63
836,139
837,13
838,1
839,148
840,138
841,142
842,1
843,138
844,138
845,120
846,148
847,176
848,11
849,63
850,138
851,68
852,187
853,148
854,122
855,129
856,139
857,148
858,1
859,75
860,63
861,138
862,4
863,148
864,68
865,124
866,55
867,139
868,84
869,19
870,176
871,176
872,139
873,75
874,138
875,33
876,62
877,139
878,131
879,138
880,148
881,11
882,1
883,139
884,11
885,173
886,63
887,138
888,148
889,100
890,1
891,86
892,154
893,63
894,94
895,100
896,44
897,139
898,63
899,106
900,148
901,55
902,176
903,124
904,142
905,19
906,142
907,11
908,148
909,63
910,192
911,68
912,2
913,18
914,139
915,33
916,148
917,68
918,167
919,55
920,142
921,148
922,2
923,67
924,144
925,1
926,148
927,148
928,142
929,63
930,148
931,121
932,144
933,148
934,147
935,142
936,63
937,20
938,6
939,139
940,131
941,139
942,138
943,94
944,139
945,19
946,55
947,176
948,19
949,33
950,124
951,154
952,139
953,148
954,72
955,142
956,187
957,148
958,138
959,131
960,148
961,173
962,5
963,144
964,56
965,139
966,88
967,147
968,138
969,142
970,1
971,176
972,154
973,131
974,139
975,11
976,132
977,124
978,138
979,98
980,139
981,148
982,138
983,148
984,148
985,19
986,52
987,138
988,148
989,98
990,142
991,33
992,139
993,139
994,138
995,34
996,11
997,64
998,68
999,142
1000,120
1001,1
1002,1
1003,1
1004,68
1005,130
1006,139
1007,2
1008,139
1009,144
1010,148
1011,148
1012,148
1013,148
1014,55
1015,61
1016,142
1017,108
1018,63
1019,148
1020,168
1021,55
1022,142
1023,148
1024,63
1025,138
1026,84
1027,131
1028,153
1029,4
1030,142
1031,148
1032,35
1033,84
1034,142
1035,55
1036,121
1037,148
1038,139
1039,148
1040,84
1041,17
1042,44
1043,11
1044,174
1045,59
1046,129
1047,143
1048,148
1049,139
1050,142
1051,111
1052,160
1053,1
1054,63
1055,148
1056,138
1057,138
1058,176
1059,144
1060,29
1061,139
1062,142
1063,19
1064,19
1065,63
1066,1
1067,148
1068,148
1069,148
1070,139
1071,1
1072,139
1073,120
1074,138
1075,148
1076,139
1077,63
1078,148
1079,180
1080,154
1081,142
1082,139
1083,11
1084,129
1085,154
1086,138
1087,27
1088,142
1089,19
1090,63
1091,1
1092,138
1093,138
1094,131
1095,154
1096,1
1097,148
1098,148
1099,148
1100,1
1101,111
1102,138
1103,148
1104,1
1105,63
1106,148
1107,148
1108,19
1109,19
1110,117
1111,139
1112,88
1113,142
1114,2
1115,138
1116,148
1117,148
1118,138
1119,33
1120,148
1121,11
1122,142
1123,129
1124,138
1125,75
1126,124
1127,139
1128,148
1129,142
1130,1
1131,94
1132,168
1133,148
1134,148
1135,139
1136,63
1137,11
1138,89
1139,63
1140,139
1141,139
1142,153
1143,142
1144,142
1145,124
1146,2
1147,176
1148,148
1149,25
1150,18
1151,63
1152,148
1153,50
1154,55
1155,148
1156,2
1157,124
1158,63
1159,43
1160,174
1161,25
1162,124
1163,148
1164,142
1165,19
1166,148
1167,142
1168,148
1169,84
1170,142
1171,11
1172,138
1173,148
1174,132
1175,148
1176,139
1177,2
1178,148
1179,139
1180,63
1181,139
1182,63
1183,35
1184,139
1185,124
1186,138
1187,138
1188,138
1189,131
1190,188
1191,41
1192,139
1193,6
1194,139
1195,142
1196,55
1197,138
1198,52
1199,4
1200,68
1201,148
1202,63
1203,139
1204,11
1205,2
1206,46
1207,142
1208,142
1209,54
1210,142
1211,144
1212,109
1213,124
1214,10
1215,63
1216,139
1217,19
1218,148
1219,18
1220,63
1221,142
1222,147
1223,187
1224,138
1225,142
1226,68
1227,148
1228,132
1229,142
1230,94
1231,94
1232,142
1233,144
1234,73
1235,187
1236,84
1237,144
1238,148
1239,142
1240,2
1241,142
1242,153
1243,75
1244,148
1245,148
1246,148
1247,56
1248,138
1249,142
1250,1
1251,94
1252,142
1253,142
1254,11
1255,131
1256,142
1257,187
1258,147
1259,63
1260,139
1261,126
1262,35
1263,72
1264,53
1265,139
1266,120
1267,20
1268,142
1269,132
1270,94
1271,55
1272,142
1273,148
1274,62
1275,148
1276,56
1277,17
1278,1
1279,142
1280,84
1281,113
1282,148
1283,148
1284,10
1285,138
1286,19
1287,139
1288,144
1289,63
1290,1
1291,148
1292,148
1293,68
1294,63
1295,138
1296,153
1297,12
1298,138
1299,142
1300,55
1301,139
1302,2
1303,138
1304,148
1305,84
1306,111
1307,190
1308,142
1309,138
1310,86
1311,111
1312,63
1313,142
1314,18
1315,63
1316,148
1317,63
1318,142
1319,35
1320,63
1321,142
1322,148
1323,139
1324,138
1325,148
1326,122
1327,144
1328,148
1329,142
1330,138
1331,139
1332,2
1333,50
1334,148
1335,84
1336,63
1337,63
1338,139
1339,148
1340,148
1341,55
1342,6
1343,56
1344,148
1345,1
1346,63
1347,176
1348,1
1349,68
1350,142
1351,142
1352,1
1353,4
1354,1
1355,68
1356,142
1357,55
1358,68
1359,63
1360,180
1361,148
1362,148
1363,63
1364,148
1365,86
1366,36
1367,148
1368,108
1369,63
1370,148
1371,148
1372,1
1373,144
1374,84
1375,63
1376,139
1377,148
1378,176
1379,151
1380,63
1381,148
1382,11
1383,55
1384,148
1385,142
1386,139
1387,55
1388,138
1389,52
1390,142
1391,63
1392,142
1393,1
1394,19
1395,138
1396,148
1397,6
1398,63
1399,55
1400,94
1401,34
1402,176
1403,138
1404,1
1405,2
1406,6
1407,63
1408,122
1409,142
1410,1
1411,138
1412,139
1413,62
1414,115
1415,148
1416,139
1417,148
1418,147
1419,153
1420,138
1421,131
1422,138
1423,52
1424,148
1425,111
1426,131
1427,129
1428,139
1429,148
1430,88
1431,147
1432,148
1433,139
1434,139
1435,142
1436,62
1437,148
1438,34
1439,139
1440,138
1441,63
1442,18
1443,178
1444,148
1445,131
1446,139
1447,54
1448,142
1449,148
1450,148
1451,55
1452,63
1453,84
1454,75
1455,176
1456,142
1457,139
1458,63
1459,111
1460,111
1461,100
1462,94
1463,139
1464,139
1465,55
1466,148
1467,139
1468,138
1469,167
1470,63
1471,20
1472,142
1473,139
1474,46
1475,148
1476,55
1477,61
1478,139
1479,33
1480,1
1481,148
1482,144
1483,36
1484,139
1485,55
1486,144
1487,2
1488,148
1489,142
1490,139
1491,18
1492,142
1493,148
1494,1
1495,138
1496,131
1497,100
1498,148
1499,142
1500,1
1501,111
1502,2
1503,148
1504,6
1505,150
1506,148
1507,55
1508,75
1509,139
1510,75
1511,147
1512,148
1513,148
1514,148
1515,1
1516,20
1517,41
1518,139
1519,139
1520,138
1521,63
1522,148
1523,174
1524,52
1525,148
1526,138
1527,139
1528,154
1529,176
1530,10
1531,94
1532,154
1533,142
1534,148
1535,84
1536,174
1537,138
1538,1
1539,138
1540,138
1541,139
1542,139
1543,94
1544,148
1545,144
1546,6
1547,165
1548,142
1549,94
1550,154
1551,2
1552,187
1553,139
1554,148
1555,139
1556,142
1557,154
1558,80
1559,142
1560,63
1561,1
1562,139
1563,144
1564,139
1565,63
1566,148
1567,55
1568,1
1569,63
1570,142
1571,138
1572,4
1573,11
1574,139
1575,62
1576,138
1577,6
1578,3
1579,148
1580,68
1581,108
1582,19
1583,68
1584,9
1585,1
1586,13
1587,142
1588,142
1589,148
1590,68
1591,139
1592,154
1593,148
1594,176
1595,55
1596,62
1597,1
1598,72
1599,131
1600,122
1601,111
1602,63
1603,84
1604,138
1605,148
1606,138
1607,63
1608,139
1609,138
1610,148
1611,122
1612,144
1613,139
1614,20
1615,142
1616,63
1617,63
1618,63
1619,139
1620,148
1621,63
1622,1
1623,148
1624,148
1625,63
1626,34
1627,148
1628,111
1629,148
1630,55
1631,148
1632,19
1633,94
1634,142
1635,148
1636,177
1637,144
1638,142
1639,139
1640,3
1641,23
1642,18
1643,148
1644,148
1645,131
1646,144
1647,63
1648,34
1649,174
1650,84
1651,11
1652,18
1653,75
1654,52
1655,64
1656,148
1657,11
1658,94
1659,148
1660,100
1661,11
1662,139
1663,148
1664,176
1665,139
1666,19
1667,148
1668,63
1669,19
1670,1
1671,11
1672,142
1673,63
1674,148
1675,148
1676,1
1677,63
1678,148
1679,148
1680,11
1681,63
1682,174
1683,148
1684,142
1685,148
1686,94
1687,95
1688,148
1689,18
1690,148
1691,55
1692,34
1693,68
1694,139
1695,61
1696,11
1697,139
1698,148
1699,139
1700,178
1701,148
1702,139
1703,138
1704,94
1705,148
1706,155
1707,154
1708,139
1709,120
1710,148
1711,84
1712,148
1713,129
1714,142
1715,131
1716,142
1717,142
1718,10
1719,148
1720,11
1721,138
1722,84
1723,108
1724,148
1725,115
1726,63
1727,138
1728,11
1729,142
1730,6
1731,148
1732,72
1733,19
1734,52
1735,10
1736,142
1737,55
1738,19
1739,11
1740,139
1741,142
1742,63
1743,148
1744,139
1745,138
1746,68
1747,121
1748,50
1749,131
1750,138
1751,148
1752,154
1753,93
1754,148
1755,122
1756,138
1757,56
1758,148
1759,148
1760,124
1761,108
1762,124
1763,131
1764,142
1765,1
1766,142
1767,19
1768,115
1769,139
1770,142
1771,148
1772,148
1773,148
1774,124
1775,176
1776,63
1777,148
1778,187
1779,20
1780,142
1781,154
1782,154
1783,139
1784,144
1785,142
1786,84
1787,1
1788,129
1789,84
1790,63
1791,148
1792,142
1793,138
1794,84
1795,11
1796,139
1797,88
1798,1
1799,138
1800,142
1801,148
1802,19
1803,129
1804,148
1805,138
1806,84
1807,139
1808,142
1809,148
1810,173
1811,19
1812,36
1813,148
1814,108
1815,11
1816,5
1817,129
1818,19
1819,63
1820,148
1821,142
1822,129
1823,95
1824,142
1825,148
1826,100
1827,63
1828,84
1829,148
1830,138
1831,94
1832,148
1833,148
1834,142
1835,148
1836,148
1837,139
1838,63
1839,34
1840,148
1841,129
1842,1
1843,148
1844,6
1845,2
1846,111
1847,131
1848,138
1849,139
1850,176
1851,19
1852,63
1853,138
1854,55
1855,138
1856,138
1857,115
1858,139
1859,165
1860,187
1861,147
1862,1
1863,139
1864,176
1865,11
1866,35
1867,33
1868,62
1869,63
1870,11
1871,63
1872,55
1873,139
1874,1
1875,68
1876,148
1877,148
1878,142
1879,142
1880,129
1881,148
1882,148
1883,153
1884,124
1885,142
1886,124
1887,94
1888,19
1889,84
1890,2
1891,148
1892,19
1893,186
1894,55
1895,124
1896,63
1897,139
1898,148
1899,176
1900,139
1901,154
1902,63
1903,139
1904,148
1905,142
1906,142
1907,63
1908,63
1909,138
1910,148
1911,148
1912,144
1913,1
1914,1
1915,138
1916,18
1917,1
1918,148
1919,138
1920,148
1921,63
1922,165
1923,35
1924,63
1925,19
1926,139
1927,139
1928,68
1929,139
1930,148
1931,148
1932,18
1933,167
1934,22
1935,6
1936,11
1937,148
1938,68
1939,11
1940,138
1941,148
1942,174
1943,148
1944,144
1945,142
1946,139
1947,63
1948,187
1949,1
1950,33
1951,94
1952,142
1953,54
1954,139
1955,148
1956,148
1957,63
1958,1
1959,176
1960,139
1961,148
1962,163
1963,138
1964,52
1965,75
1966,148
1967,94
1968,139
1969,120
1970,139
1971,1
1972,139
1973,144
1974,144
1975,84
1976,63
1977,139
1978,142
1979,142
1980,33
1981,62
1982,18
1983,148
1984,139
1985,20
1986,16
1987,68
1988,63
1989,148
1990,139
1991,87
1992,63
1993,142
1994,148
1995,63
1996,138
1997,139
1998,19
1999,139
2000,142
2001,138
2002,148
2003,142
2004,131
2005,25
2006,142
2007,142
2008,94
2009,120
2010,46
2011,138
2012,6
2013,1
2014,19
2015,131
2016,142
2017,2
2018,142
2019,1
2020,3
2021,148
2022,1
2023,148
2024,129
2025,63
2026,33
2027,147
2028,84
2029,94
2030,176
2031,138
2032,55
2033,4
2034,2
2035,84
2036,148
2037,180
2038,139
2039,139
2040,148
2041,147
2042,2
2043,6
2044,142
2045,63
2046,25
2047,138
2048,11
2049,121
2050,1
2051,138
2052,142
2053,84
2054,139
2055,148
2056,63
2057,148
2058,144
2059,138
2060,142
2061,148
2062,139
2063,148
2064,56
2065,142
2066,11
2067,3
2068,138
2069,55
2070,34
2071,63
2072,94
2073,148
2074,63
2075,142
2076,19
2077,1
2078,56
2079,11
2080,63
2081,142
2082,63
2083,148
2084,5
2085,106
2086,139
2087,142
2088,142
2089,63
2090,63
2091,174
2092,153
2093,55
2094,74
2095,148
2096,55
2097,6
2098,56
2099,84
2100,148
2101,1
2102,84
2103,63
2104,63
2105,111
2106,138
2107,148
2108,18
2109,63
2110,1
2111,148
2112,148
2113,55
2114,138
2115,19
2116,126
2117,176
2118,50
2119,63
2120,148
2121,46
2122,148
2123,138
2124,19
2125,148
2126,64
2127,139
2128,6
2129,19
2130,63
2131,1
2132,84
2133,63
2134,139
2135,94
2136,84
2137,142
2138,19
2139,147
2140,33
2141,144
2142,63
2143,1
2144,148
2145,162
2146,148
2147,138
2148,153
2149,139
2150,148
2151,131
2152,142
2153,1
2154,139
2155,63
2156,84
2157,55
2158,1
2159,62
2160,19
2161,154
2162,63
2163,55
2164,142
